,complexity,loss,score,equation,sympy_format,lambda_format
0,1,5.9559374,0.0,2.083762,2.08376200000000,PySRFunction(X=>2.08376200000000)
1,3,3.4276927,0.27625062587347393,5.250749 / r,5.250749/r,PySRFunction(X=>5.250749/r)
2,4,2.0333211,0.5222168865102943,log(r) ^ -0.9341985,log(r)**(-0.9341985),PySRFunction(X=>log(r)**(-0.9341985))
3,5,1.6125478,0.2318550534403288,(-1.1063215 + r) ^ -0.531707,(r - 1.1063215)**(-0.531707),PySRFunction(X=>(r - 1.1063215)**(-0.531707))
4,6,1.4421227,0.11169928726392438,sqrt(r / (-1.1071633 + r)),sqrt(r/(r - 1.1071633)),PySRFunction(X=>sqrt(r/(r - 1.1071633)))
5,7,1.4006113,0.029207341217757515,1.3508375 + (Pe / (r ^ 13.3869095)),Pe/(r**13.3869095) + 1.3508375,PySRFunction(X=>Pe/(r**13.3869095) + 1.3508375)
6,8,1.1478754,0.19899602875611658,sqrt((Pe ^ phi) / (r - 1.075287)),sqrt(Pe**phi/(r - 1.075287)),PySRFunction(X=>sqrt(Pe**phi/(r - 1.075287)))
7,9,0.9014775,0.24163295047438083,((cos_theta - log(Pe)) / log(r)) * -0.29501897,-0.29501897*(cos_theta - log(Pe))/log(r),PySRFunction(X=>-0.29501897*(cos_theta - log(Pe))/log(r))
8,10,0.7544127,0.17809551818117605,sqrt(((Pe ^ phi) - cos_theta) / (r + -1.0763816)),sqrt((Pe**phi - cos_theta)/(r - 1.0763816)),PySRFunction(X=>sqrt((Pe**phi - cos_theta)/(r - 1.0763816)))
9,11,0.6301877,0.1799218542288205,-0.30402943 * ((cos_theta - sqrt(phi * Pe)) / log(r)),-0.30402943*(cos_theta - sqrt(Pe*phi))/log(r),PySRFunction(X=>-0.30402943*(cos_theta - sqrt(Pe*phi))/log(r))
10,12,0.61373883,0.02644823216879948,((cos_theta - ((Pe * phi) ^ 0.44979233)) / log(r)) * -0.34209055,-0.34209055*(cos_theta - (Pe*phi)**0.44979233)/log(r),PySRFunction(X=>-0.34209055*(cos_theta - (Pe*phi)**0.44979233)/log(r))
11,13,0.47812334,0.2497007466710993,(((phi * sqrt(Pe)) - (cos_theta - r)) / log(r)) * 0.30187854,0.30187854*(sqrt(Pe)*phi - cos_theta + r)/log(r),PySRFunction(X=>0.30187854*(sqrt(Pe)*phi - cos_theta + r)/log(r))
12,14,0.42510518,0.11753211202069629,((log(Pe * phi) - cos_theta) * (18.043861 / (r ^ 14.721829))) + 1.2705209,18.043861*(-cos_theta + log(Pe*phi))/r**14.721829 + 1.2705209,PySRFunction(X=>18.043861*(-cos_theta + log(Pe*phi))/r**14.721829 + 1.2705209)
13,15,0.3928521,0.07890341549937174,((18.393448 / (r ^ 15.087769)) * (log(Pe * phi) - cos_theta)) + exp(phi),18.393448*(-cos_theta + log(Pe*phi))/r**15.087769 + exp(phi),PySRFunction(X=>18.393448*(-cos_theta + log(Pe*phi))/r**15.087769 + exp(phi))
14,16,0.38841385,0.011361810263566571,((18.42217 / (r ^ 15.011584)) * (log(phi * Pe) - cos_theta)) + (2.3491104 ^ phi),2.3491104**phi + 18.42217*(-cos_theta + log(Pe*phi))/r**15.011584,PySRFunction(X=>2.3491104**phi + 18.42217*(-cos_theta + log(Pe*phi))/r**15.011584)
15,17,0.37620914,0.031926182736463374,0.95988107 + (((sqrt(Pe) * (phi ^ 0.7399442)) - cos_theta) * (0.13197048 / (log(r) ^ 1.4356548))),0.13197048*(sqrt(Pe)*phi**0.7399442 - cos_theta)/log(r)**1.4356548 + 0.95988107,PySRFunction(X=>0.13197048*(sqrt(Pe)*phi**0.7399442 - cos_theta)/log(r)**1.4356548 + 0.95988107)
16,18,0.33741194,0.10884065441034321,0.85195214 + (((sqrt(Pe) * (phi ^ 0.71608526)) - cos_theta) * ((12.795524 / (r ^ 13.325606)) + 0.19901358)),(12.795524/r**13.325606 + 0.19901358)*(sqrt(Pe)*phi**0.71608526 - cos_theta) + 0.85195214,PySRFunction(X=>(12.795524/r**13.325606 + 0.19901358)*(sqrt(Pe)*phi**0.71608526 - cos_theta) + 0.85195214)
17,20,0.30774608,0.04601476518858318,((((phi - (cos_theta * 0.19436678)) ^ 0.6893953) * sqrt(Pe)) * ((12.731364 / (r ^ 13.33526)) - -0.19302608)) + 0.86235386,sqrt(Pe)*(-0.19436678*cos_theta + phi)**0.6893953*(12.731364/r**13.33526 + 0.19302608) + 0.86235386,PySRFunction(X=>sqrt(Pe)*(-0.19436678*cos_theta + phi)**0.6893953*(12.731364/r**13.33526 + 0.19302608) + 0.86235386)
18,22,0.26234972,0.07979830225806432,(((((phi - (0.1993484 * cos_theta)) ^ r) * Pe) / (exp(r / (r - 1.1726938)) + 0.4044902)) ^ 0.6242538) + 0.9373465,(Pe*(-0.1993484*cos_theta + phi)**r/(exp(r/(r - 1*1.1726938)) + 0.4044902))**0.6242538 + 0.9373465,PySRFunction(X=>(Pe*(-0.1993484*cos_theta + phi)**r/(exp(r/(r - 1*1.1726938)) + 0.4044902))**0.6242538 + 0.9373465)
19,24,0.22284092,0.08161013459440654,(((((phi - (0.18845522 * cos_theta)) ^ r) * (Pe ^ 0.7162739)) / (exp(0.6973167 / (r - 1.1745559)) + 0.20452169)) - -1.0649933) ^ 0.71023875,(Pe**0.7162739*(-0.18845522*cos_theta + phi)**r/(exp(0.6973167/(r - 1*1.1745559)) + 0.20452169) - 1*(-1.0649933))**0.71023875,PySRFunction(X=>(Pe**0.7162739*(-0.18845522*cos_theta + phi)**r/(exp(0.6973167/(r - 1*1.1745559)) + 0.20452169) - 1*(-1.0649933))**0.71023875)
