phi,Pe,r,g_avg
30,15,0.0125,0.0
30,15,0.0375,0.0
30,15,0.0625,0.0
30,15,0.0875,0.0
30,15,0.1125,0.0
30,15,0.1375,0.0
30,15,0.1625,0.0
30,15,0.1875,0.0
30,15,0.2125,0.0
30,15,0.2375,0.0
30,15,0.2625,0.0
30,15,0.2875,0.0
30,15,0.3125,0.0
30,15,0.3375,0.0
30,15,0.3625,0.0
30,15,0.3875,0.0
30,15,0.4125,0.0
30,15,0.4375,0.0
30,15,0.4625,0.0
30,15,0.4875,0.0
30,15,0.5125,0.0
30,15,0.5375,0.0
30,15,0.5625,0.0
30,15,0.5875,0.0
30,15,0.6125,0.0
30,15,0.6375,0.0
30,15,0.6625,0.0
30,15,0.6875,0.0
30,15,0.7125,0.0
30,15,0.7375,0.0
30,15,0.7625,0.0
30,15,0.7875,0.0
30,15,0.8125,0.0
30,15,0.8375,0.0
30,15,0.8625,0.0
30,15,0.8875,0.0
30,15,0.9125,0.0
30,15,0.9375,0.0
30,15,0.9625,0.0
30,15,0.9875,0.0
30,15,1.0125,0.0
30,15,1.0375,0.0
30,15,1.0625,0.0
30,15,1.0875,0.0
30,15,1.1125,3.1700377111111093
30,15,1.1375,5.339194544444444
30,15,1.1625,4.3584232111111145
30,15,1.1875,3.3740353666666643
30,15,1.2125,2.56769778888889
30,15,1.2375,2.4350171222222188
30,15,1.2625,1.869307088888888
30,15,1.2875,1.9055016555555548
30,15,1.3125,1.5847621666666676
30,15,1.3375,1.3258566444444437
30,15,1.3625,1.4483181333333328
30,15,1.3875,1.3309308888888882
30,15,1.4125,1.1138643888888897
30,15,1.4375,1.0017391777777778
30,15,1.4625,0.9709401333333327
30,15,1.4875,1.0980391999999997
30,15,1.5125,1.035812577777777
30,15,1.5375,0.971273955555556
30,15,1.5625,1.0197333333333338
30,15,1.5875,0.9322835666666671
30,15,1.6125,0.7193797999999995
30,15,1.6375,0.8956742222222218
30,15,1.6625,0.9022557111111109
30,15,1.6875,0.8533334222222224
30,15,1.7125,0.7941606666666656
30,15,1.7375,0.8057555888888887
30,15,1.7625,0.824586455555555
30,15,1.7875,0.8279720444444448
30,15,1.8125,0.853333633333334
30,15,1.8375,0.863492222222222
30,15,1.8625,0.8125280222222214
30,15,1.8875,0.8194260888888891
30,15,1.9125,0.8505449555555556
30,15,1.9375,0.7466665999999997
30,15,1.9625,0.9273888111111108
30,15,1.9875,0.8318659222222221
30,15,2.0125,1.0368530666666664
30,15,2.0375,0.9914112333333334
30,15,2.0625,0.8694948333333324
30,15,2.0875,0.9421159333333325
30,15,2.1125,1.0792899333333328
30,15,2.1375,1.016764277777777
30,15,2.1625,1.0481696111111103
30,15,2.1875,1.0544761666666664
30,15,2.2125,1.1480225444444434
30,15,2.2375,1.3050280111111112
30,15,2.2625,1.3642727000000006
30,15,2.2875,1.4076504000000005
30,15,2.3125,1.3491891444444442
30,15,2.3375,1.300535077777777
30,15,2.3625,1.2529101444444435
30,15,2.3875,1.2006983666666673
30,15,2.4125,1.1965458000000004
30,15,2.4375,1.1104273555555553
30,15,2.4625,1.1884942333333326
30,15,2.4875,1.1336681999999993
30,15,2.5125,1.0878939999999995
30,15,2.5375,1.0272577999999999
30,15,2.5625,1.0952846444444442
30,15,2.5875,1.0125603111111112
30,15,2.6125,1.0615630111111112
30,15,2.6375,1.0110586222222222
30,15,2.6625,1.014084711111112
30,15,2.6875,1.0046510666666657
30,15,2.7125,0.9880186111111118
30,15,2.7375,0.9668188222222212
30,15,2.7625,0.9918553666666665
30,15,2.7875,0.8944694888888891
30,15,2.8125,0.9173333444444449
30,15,2.8375,1.0408224666666674
30,15,2.8625,0.973508066666666
30,15,2.8875,1.0389611333333337
30,15,2.9125,0.9888413111111115
30,15,2.9375,0.950922055555555
30,15,2.9625,1.0396625666666672
30,15,2.9875,1.0287309777777787
30,15,3.0125,0.9538037111111115
30,15,3.0375,0.9898492555555559
30,15,3.0625,0.9882994666666665
30,15,3.0875,0.9587045333333333
30,15,3.1125,0.9574297222222221
30,15,3.1375,1.0475431888888886
30,15,3.1625,1.0329381555555552
30,15,3.1875,0.9181701000000005
30,15,3.2125,1.016861377777778
30,15,3.2375,0.9616474333333344
30,15,3.2625,1.0380585888888887
30,15,3.2875,1.151837955555555
30,15,3.3125,1.1049057444444446
30,15,3.3375,1.0347066444444446
30,15,3.3625,1.0012392111111121
30,15,3.3875,1.0745387888888893
30,15,3.4125,1.099878011111111
30,15,3.4375,1.1229091444444441
30,15,3.4625,1.1436823333333326
30,15,3.4875,1.093428844444444
30,15,3.5125,1.102728544444445
30,15,3.5375,0.9799765888888881
